uniqueID,Word,cat53_string,size_mean,memorability_cr,recognizability,property_hold_mean,property_hold_SD,property_pleasant_mean,property_pleasant_SD,property_arousal_mean,property_arousal_SD,property_manmade_mean,property_manmade_SD,property_grasp_mean,property_grasp_SD,property_natural_mean,property_natural_SD,nameability,nameability_SE,SUBTLEX freq,ZipfSUBTLEX_en
match,match,lighting; tool,151.9545455,0.926829268,0.857142857,6.5789,0.6423,4.4211,0.7929,4.170212766000001,1.464346552,6.6053,0.9165,6.3684,0.9704,2.2368,1.5145,1.0,0.0,2521.0,4.694002669578509
cream,cream,,188.18571430000003,0.930232558,0.8,5.6757,1.473,5.7297,0.9902,3.622222222,1.812693737,6.2432,1.0647,5.2162,1.9168,3.3784,1.7536,0.578947368,0.113268966,2484.0,4.687581415406607
shirt,shirt,clothing,260.3977273,0.853658537,0.857142857,6.7368,0.5032,5.4211,1.0813,3.558139535,1.868311251,6.8158,0.4565,6.6053,0.5945,2.5,1.4658,1.0,0.0,2365.0,4.666260968975895
blind,blind,,279.1489362,0.853658537,0.75,5.1622,1.6075,5.1351,1.1586,3.978723404,1.390798358,6.7297,1.0179,5.7027,1.2881,1.5946,1.0919,1.0,0.0,2337.0,4.66108853629429
tie,tie,clothing; clothing accessory,221.0121951,0.951219512,1.0,6.7027,0.5708,5.0811,1.382,3.266666667,1.826571552,6.7838,0.4793,6.6216,0.6391,2.027,1.1663,1.0,0.0,2266.0,4.647689729429442
file2,file,office supply,216.9705882,0.756097561,0.75,6.3143,0.9632,4.4,0.8812,4.081632653,1.396971944,6.7429,0.7413,6.2286,1.0025,1.8571,1.1413,0.833333333,0.087841046,2246.0,4.643839575827503
coat,coat,clothing; outerwear,274.8068182,0.902439024,0.769230769,6.3784,0.8612,5.3514,1.111,3.547619048,1.626043844,6.6757,0.6689,6.1892,0.9672,2.2703,1.4073,0.882352941,0.07814249,2146.0,4.624059541531996
block,block,,206.8214286,0.894736842,0.705882353,5.8333,1.0,4.5,0.7368,3.771428571,1.238730714,6.25,0.9373,5.6667,1.1464,3.6389,1.8846,1.0,0.0,2067.0,4.607770300529352
bell,bell,musical instrument,203.0425532,0.897435897,1.0,5.1622,1.0412,5.2432,1.0112,4.239130435,1.551841667,6.7838,0.5838,5.1892,1.1264,1.7568,1.0905,1.0,0.0,2006.0,4.594760752586463
cheese,cheese,dessert; food,196.9880952,0.833333333,0.75,6.1316,0.9056,5.7368,1.1783,3.911111111,1.662722606,6.2368,0.8833,5.9211,1.1942,4.7632,1.9373,1.0,0.0,1991.0,4.591501083929473
football,football,sports equipment,237.3777778,0.825,0.8,6.2857,0.825,4.9143,1.1725,3.959183673,1.657799541,6.8286,0.3824,5.9714,0.9231,2.3143,1.6409,1.0,0.0,1914.0,4.574371757342888
finger,finger,body part,178.7282609,0.95,0.818181818,6.4865,0.7311,5.2162,1.3361,4.0,1.3850513880000002,2.1081,1.8824,6.5405,0.6053,6.8108,0.5184,0.882352941,0.07814249,1870.0,4.564271430438563
jacket,jacket,clothing; outerwear,268.51162789999995,0.756097561,0.75,6.4615,0.7555,5.641,0.9028,3.926829268,1.602969805,6.7436,0.5946,6.1282,1.0558,2.1026,1.1424,0.736842105,0.101022618,1704.0,4.523899414332745
glasses,glasses,clothing accessory,205.9772727,0.904761905,1.0,6.7297,0.6078,5.3243,1.0555,3.88,1.6859563990000002,6.6757,0.8836,6.5405,0.7301,2.0541,1.4327,0.705882353,0.110510169,1689.0,4.520059473473072
ear,ear,body part,174.0425532,0.977272727,1.0,5.2895,1.7384,4.7895,1.2116,4.019230769,1.6388707809999998,2.0263,1.8958,5.7632,1.384,6.6316,0.5891,1.0,0.0,1632.0,4.505149978319906
map,map,,264.0795455,0.860465116,0.944444444,5.8718,1.196,5.3846,0.9898,3.74,1.468165592,6.5897,1.0187,6.0,1.0,2.5641,1.4831,1.0,0.0,1623.0,4.502748343728296
snow,snow,,107.1590909,0.875,0.769230769,5.4474,1.5013,5.1579,1.3858,3.333333333,1.814050755,1.3158,0.7391,5.3947,1.5516,6.6316,0.8517,1.0,0.0,1599.0,4.496278287648298
shoe,shoe,clothing; footwear,224.4347826,0.897435897,1.0,6.4,0.5531,5.2286,1.087,3.956521739,1.490063708,6.7714,0.426,6.1714,1.1242,2.2571,1.4821,0.4375,0.124019593,1550.0,4.482761522072355
punch2,punch,office supply; tool,211.53658540000004,0.875,0.933333333,6.75,0.5,4.4722,0.9098,4.346938776,1.465591752,6.9444,0.2323,6.5833,0.77,1.3056,0.6684,1.0,0.0,1514.0,4.472555699066118
painting,painting,,265.4861111,0.888888889,0.769230769,5.2432,1.1644,5.6757,1.5995,3.3125,2.054121441,6.8108,0.5695,5.3514,1.111,2.3514,1.3987,0.916666667,0.079785592,1489.0,4.46532452165424
wire,wire,arts and crafts supply; hardware,158.5294118,0.85,0.764705882,6.4737,0.7618,4.2632,1.0315,4.0,1.3984117980000002,6.7632,0.8833,6.1579,1.1277,1.4474,1.0577,0.888888889,0.074074074,1403.0,4.439487494930424
shoulder,shoulder,body part,228.7555556,0.906976744,0.75,5.2051,1.7649,5.4359,1.2731,3.956521739,1.591037701,2.0513,2.0513,5.8718,1.2603,6.4872,1.2539,0.444444444,0.117121395,1336.0,4.41823628204159
egg,egg,breakfast food; food,180.6829268,0.95,1.0,6.6571,0.5392,4.9143,1.2455,3.85106383,1.601340789,1.4,0.9762,6.4,0.9456,6.6571,0.4816,1.0,0.0,1328.0,4.415627898934062
plate,plate,,229.25,0.846153846,0.833333333,6.6486,0.484,5.1351,1.0318,3.978723404,1.60825806,6.7838,0.4173,6.5135,0.6507,2.3784,1.5519,0.789473684,0.09352877,1308.0,4.409037567890312
baseball,baseball,sports equipment,200.5,0.87804878,0.75,6.6053,0.6384,5.0263,1.1965,4.058823529,1.815618514,6.7632,0.4896,6.5,0.7623,1.8421,1.3661,1.0,0.0,1288.0,4.402345686925857
doll,doll,toy,231.5512821,0.902439024,1.0,6.6216,0.5452,5.5676,1.0419,3.102040816,2.181789193,6.7838,0.8862,6.3514,0.7894,1.7568,1.2562,1.0,0.0,1263.0,4.393833174457394
pen,pen,arts and crafts supply; office supply; school supply; tool,191.1309524,0.87804878,0.928571429,6.8857,0.4038,4.4571,0.6108,3.930232558,1.31647706,6.8571,0.4937,6.8286,0.4528,1.4,0.7746,0.941176471,0.057067206,1261.0,4.393144910475145
belt,belt,clothing; clothing accessory,239.1860465,0.95,1.0,6.6316,0.5413,4.6316,1.0246,4.020833333,1.4215601759999998,6.7368,0.4463,6.3947,1.2848,2.5263,1.5199,1.0,0.0,1242.0,4.386551419742625
apple,apple,food; fruit,199.8478261,0.952380952,0.9375,6.7368,0.4463,6.0,1.0905,3.387755102,1.668536366,1.4474,1.2455,6.6579,0.4808,6.7895,0.4132,1.0,0.0,1207.0,4.374137093999413
wallet,wallet,container,204.5222222,0.948717949,0.875,6.7027,0.5199,5.0541,1.1291,3.681818182,1.624989836,6.8378,0.4418,6.5946,0.6438,2.0,1.2247,0.789473684,0.09352877,1163.0,4.358009538630512
rope,rope,construction equipment; tool,245.29729730000005,0.897435897,0.894736842,5.825,1.035,4.075,0.797,4.261904762,1.4825739619999998,6.475,0.8767,5.85,1.0513,3.175,1.767,1.0,0.0,1158.0,4.356138383293481
sandwich,sandwich,breakfast food; food,217.2291667,0.857142857,0.866666667,6.425,0.9026,5.95,0.9594,3.916666667,1.899981336,6.6,0.5905,6.4,0.7089,3.15,1.8474,0.944444444,0.053990295,1118.0,4.340871627452469
fruit,fruit,food; fruit,201.4204545,0.9,1.0,6.3158,0.6619,5.8947,0.9806,3.652173913,1.779105784,1.6842,1.2543,6.1316,0.9634,6.7105,0.6538,0.95,0.048733972,1108.0,4.336969584294475
underwear,underwear,clothing,222.1630435,0.860465116,0.727272727,6.6316,0.7857,4.9474,1.2509,4.489361702,1.516178555,6.5526,1.0053,6.6579,0.7081,2.4474,1.4275,0.777777778,0.097990789,1105.0,4.335792101923193
bowl,bowl,container,224.9555556,0.853658537,1.0,6.4474,0.6857,4.7105,0.956,3.87755102,1.844277784,6.7895,0.4741,6.1316,0.8438,1.8684,1.018,1.0,0.0,1094.0,4.331447145899475
horn,horn,musical instrument,227.4189189,0.833333333,0.75,6.0588,1.0993,4.3235,1.2485,4.425531915,1.6777920380000002,6.3824,1.5766,6.2353,0.8549,1.5882,0.8916,0.666666667,0.111111111,1075.0,4.323838288153688
bat2,bat,sports equipment; weapon,258.9347826,0.853658537,0.866666667,6.5676,0.6472,4.4865,1.0171,4.16,1.776949921,6.7027,0.9087,6.4054,1.1416,2.3784,1.4014,0.555555556,0.117121395,1052.0,4.314445563719784
chip,chip,,127.6785714,0.904761905,0.888888889,6.1795,1.2539,4.1795,0.7564,4.0,1.465039748,6.8974,0.3074,6.1026,1.2523,1.3077,0.5208,0.5625,0.124019593,1051.0,4.314032539930306
butter,butter,condiment; food,193.6184211,0.944444444,0.722222222,5.4722,1.4038,5.7778,0.8656,3.9,1.865366408,5.6389,1.3126,5.0,1.5675,5.2778,1.0032,0.666666667,0.111111111,1042.0,4.31029754286557
bow1,bow,clothing; clothing accessory; fastener,157.3913043,0.925,0.75,6.7429,0.5054,5.6857,0.8668,3.936170213,1.537986478,6.8286,0.3824,6.6,0.7746,1.7429,1.01,1.0,0.0,1034.0,4.306950362659987
mouse2,mouse,electronic device,191.0434783,0.9,1.0,6.5,0.604,5.0263,1.0263,3.893617021,1.7097424490000002,6.7368,0.5543,6.4211,0.8263,1.7895,1.3184,1.0,0.0,975.0,4.2814344396006
cap,cap,,149.4375,0.925,0.857142857,6.7436,0.6373,4.359,0.7776,3.465116279,1.608738595,6.7692,0.9857,6.7179,0.5104,1.7179,1.4318,0.8,0.089442719,956.0,4.272887716178164
iron,iron,electronic device; home appliance,233.7555556,0.87804878,1.0,6.5,0.6472,4.4211,1.0301,4.183673469,1.20196834,6.8158,0.4565,6.2105,1.1188,1.3684,0.7136,1.0,0.0,915.0,4.253850917968512
flag,flag,,269.525641,0.880952381,1.0,6.2632,0.7235,4.5,0.7623,3.217391304,1.504261258,6.8158,0.5123,6.1579,0.8229,1.7368,1.1315,1.0,0.0,892.0,4.2427946782781865
salad,salad,food,221.2375,0.8,0.705882353,5.5263,1.3703,5.8684,0.9911,3.62,1.6889798880000002,5.4211,1.9677,5.3421,1.4571,5.8158,1.3922,0.947368421,0.051227817,868.0,4.230949549078556
toy,toy,toy,211.8658537,0.857142857,0.8,6.359,0.7066,6.0,0.8272,3.82,1.58680786,6.4872,1.2747,6.2821,0.7929999999999999,2.0769,1.1094,0.684210526,0.106639205,859.0,4.226422987733306
grass,grass,plant,142.9428571,0.925,0.857142857,5.9167,1.079,5.5833,1.2277,2.956521739,1.763286348,1.4444,0.8765,5.8889,1.3262,6.8056,0.4672,0.941176471,0.057067206,856.0,4.224903588579217
chips,chips,food,178.0340909,0.947368421,0.941176471,6.6923,0.5208,5.6667,1.0596,4.11627907,1.867125398,6.6154,0.5901,6.4103,1.0691,2.9487,1.5035,0.9375,0.060515365,828.0,4.210460160686944
crystal2,crystal,,161.6785714,0.717948718,0.818181818,5.3235,1.0067,5.8529,0.9888,4.5,1.54998033,3.3235,1.7875,5.1471,1.1046,5.7647,1.1297,0.764705882,0.102879368,823.0,4.207829659114333
dough,dough,food,216.1774194,0.902439024,0.833333333,5.7143,1.1265,5.4286,1.1952,3.934782609,1.5549515740000002,5.9143,1.4011,5.6571,1.1617,4.1143,1.8593,0.882352941,0.07814249,810.0,4.200914842780714
walker2,walker,,275.3571429,0.829268293,0.722222222,5.0541,1.2681,4.8919,0.8751,3.595744681,1.569541258,6.7297,0.8708,5.5676,0.8988,1.5135,0.7682,0.388888889,0.114904386,808.0,4.19984118467665
nut,nut,food,146.8372093,0.9,0.933333333,6.6053,0.7548,5.5,1.2892,3.928571429,1.813134426,1.9474,1.6595,6.5789,0.7215,6.6316,0.6334,1.0,0.0,797.0,4.193888145298176
guitar,guitar,musical instrument,276.7604167,0.902439024,0.785714286,6.0513,0.9986,5.8205,0.914,3.1363636360000005,1.773066049,6.8718,0.4091,5.8974,1.1875,2.1795,1.5021,0.888888889,0.074074074,795.0,4.192796952558534
sauce,sauce,condiment; food,178.5,0.8,0.733333333,5.5556,1.6465,5.5833,0.9964,4.333333333,1.595827894,6.4722,0.6964,5.2778,1.6837,3.5556,1.5389,0.736842105,0.101022618,795.0,4.192796952558534
net,net,,284.6756757,0.904761905,0.947368421,5.1212,1.3865,4.1515,0.3641,4.3125,1.503984071,6.5455,1.1481,5.3636,1.0252,2.2727,1.5865,0.941176471,0.057067206,793.0,4.191703011219667
makeup,makeup,personal hygiene item,182.3571429,0.87804878,0.75,6.0857,1.2455,5.0571,1.4541,4.291666667,1.797851357,6.8,0.4728,5.8,1.5492,2.4571,1.2682,0.9,0.067082039,790.0,4.190056915192505
badge,badge,,186.6585366,0.88372093,0.909090909,6.7297,0.5602,5.5135,1.4068,4.022727273,1.438484932,6.7568,0.4947,6.6757,0.5799,1.8649,1.1344,1.0,0.0,778.0,4.183409420891753
soap,soap,personal hygiene item,192.5714286,0.9,1.0,5.4103,1.3711,5.7436,1.1634,3.864864865,1.718561449,6.4872,0.7208,5.5897,1.3122,3.5897,1.6498,1.0,0.0,775.0,4.181731526408374
rice,rice,food,115.4130435,0.906976744,1.0,6.1026,1.2311,5.8974,0.9402,4.1428571430000005,1.760978505,2.9231,2.0311,5.8718,1.4542,6.359,0.8425,1.0,0.0,769.0,4.178356163703494
knee,knee,body part,207.525641,0.923076923,0.8125,5.6111,1.5171,4.8611,1.1989,3.755555556,1.170771998,1.9167,1.4808,5.9167,0.9673,6.7778,0.4847,1.0,0.0,749.0,4.16691164160153
corn,corn,food; plant; vegetable,182.3695652,0.926829268,1.0,6.4474,0.6857,5.4737,1.1563,3.770833333,1.94869933,1.8158,1.4305,6.2895,0.8023,6.7632,0.4896,1.0,0.0,725.0,4.152767830473057
brush,brush,tool,215.7826087,0.911111111,0.785714286,6.697,0.6366,5.1212,0.8572,3.680851064,1.603072905,6.7273,0.5741,6.6667,0.5951,1.9697,1.1855,0.888888889,0.074074074,722.0,4.150967021471702
towel,towel,,266.8369565,0.9,0.733333333,6.6857,0.5298,5.6286,1.0596,3.44,1.751500814,6.7429,0.4434,6.5143,0.8179,2.6,1.5941,0.823529412,0.092459441,722.0,4.150967021471702
frame,frame,home decor,262.6590909,0.833333333,0.8,6.1579,1.0274,4.8421,1.0533,4.02173913,1.4218787330000002,6.6316,0.7857,5.8947,1.2256,2.3684,1.5143,1.0,0.0,719.0,4.149158714284946
sweater,sweater,clothing,261.0232558,0.875,0.785714286,6.5143,0.7811,5.7143,1.0167,4.098039216,1.652330499,6.6286,1.1903,6.3143,0.9933,2.3714,1.308,1.0,0.0,704.0,4.140002483044176
crown,crown,clothing; headwear; jewelry,228.3452381,0.925,0.857142857,5.7838,0.9468,5.7568,0.9547,4.06122449,1.940877843,6.6216,1.0633,5.5676,1.0419,1.8378,1.3019999999999998,0.9375,0.060515365,698.0,4.136285246525224
tooth,tooth,body part,129.7666667,0.952380952,0.727272727,5.9211,1.1242,4.7895,1.2554,4.325581395,1.614236223,1.9211,1.6503,5.7632,1.2398,6.6842,0.5745,0.0,0.0,692.0,4.132535918358822
gum,gum,candy; food,145.7195122,0.853658537,0.769230769,6.6667,0.6623,5.7949,0.9509,3.941176471,1.554500109,6.7179,0.5104,6.5641,0.7879,2.3333,1.3245,0.85,0.079843597,683.0,4.1268505275835965
suitcase,suitcase,container,271.6595745,0.85,0.785714286,5.1842,1.3327,4.5,0.9515,3.729166667,1.620868999,6.9474,0.2263,5.7105,1.011,1.6316,1.0246,0.684210526,0.106639205,683.0,4.1268505275835965
shell3,shell,,184.2564103,0.868421053,0.7,6.3889,0.8376,5.0,1.1711,4.096153846,1.575045787,1.3056,0.6684,6.25,0.9964,6.5278,1.1335,0.894736842,0.0704059,674.0,4.121089720437384
basket,basket,container,252.7888889,0.853658537,0.9375,6.359,0.6684,5.3077,1.004,3.734693878,1.454526129,6.641,0.5843,6.3333,0.8377,3.9487,1.8771,1.0,0.0,672.0,4.119799096955889
lamp,lamp,electronic device; home decor; lighting,256.9418605,0.825,0.933333333,5.7895,0.9052,5.4474,0.95,3.780487805,1.6809550130000002,6.6579,1.0973,5.8947,0.9526,1.8158,1.3122,1.0,0.0,657.0,4.109995193461844
chin,chin,body part,179.65476189999998,0.904761905,0.857142857,5.5833,0.9673,4.25,0.9964,4.1,1.373956004,2.4722,2.1312,5.9167,0.9063,6.6667,0.5855,0.9375,0.060515365,647.0,4.103334104570764
battery,battery,,170.25555559999998,0.860465116,1.0,6.5641,0.6405,4.4103,1.0442,3.836734694,1.448374646,6.8462,0.3655,6.4359,0.8824,1.5128,0.9699,1.0,0.0,633.0,4.093833533919419
peanut,peanut,food,142.9111111,0.88372093,0.866666667,6.8718,0.3387,5.6154,1.1149,3.833333333,1.52885525,1.641,1.5129,6.7179,0.887,6.6667,0.6213,0.944444444,0.053990295,630.0,4.091770373355645
pan,pan,container,241.3333333,0.902439024,0.75,6.25,0.7071,4.6,0.8412,4.0,1.594260539,6.7,1.1368,6.075,1.0715,1.675,1.0473,0.473684211,0.114548882,627.0,4.08969736473278
lemon,lemon,food; fruit,191.0333333,0.860465116,1.0,6.575,0.5943,5.45,1.3578,4.0425531910000005,1.601051921,1.575,1.3939,6.4,0.6718,6.7,0.7579,1.0,0.0,613.0,4.079890298420478
clay,clay,arts and crafts supply,184.6,0.926829268,0.769230769,6.0,1.029,4.7714,1.2387,3.934782609,1.638456915,3.6,1.8818,5.6857,1.2549,5.7429,1.221,0.894736842,0.0704059,612.0,4.079181246047625
thumb,thumb,body part,161.74468090000002,0.928571429,0.833333333,6.45,0.7494,5.15,1.5115,3.977777778,1.373265665,2.2,2.1388,6.45,0.7828,6.775,0.4797,0.944444444,0.053990295,603.0,4.072747136042215
ham,ham,breakfast food; food,234.7826087,0.769230769,0.714285714,5.4737,1.0329,5.3158,1.2326,4.229166667,1.789325123,3.7368,2.0623,5.5526,1.2236,5.3158,1.5957,1.0,0.0,591.0,4.064017304783319
photograph,photograph,,218.8837209,0.9,0.8,6.8421,0.4366,5.5526,1.2013,3.5111111110000004,1.700564375,6.7105,0.5651,6.7105,0.6111,2.2895,1.5923,0.105263158,0.0704059,579.0,4.0551083876295
potato,potato,food; vegetable,200.5,0.951219512,1.0,6.5676,0.5548,5.4054,1.2793,4.292682927,1.6162286730000002,1.4865,1.0441,6.3514,0.978,6.7838,0.4173,1.0,0.0,576.0,4.052852307325276
nest,nest,,216.7674419,0.975609756,1.0,5.4167,1.2507,5.6111,1.0496,3.760869565,1.580221962,1.5556,1.0809,5.3889,1.1778,6.3333,1.0954,1.0,0.0,566.0,4.045246255090335
bra,bra,clothing; women's clothing,228.9333333,0.945945946,0.952380952,6.5714,0.6081,4.2571,1.7037,4.333333333,1.602303307,6.8571,0.355,6.4,1.0059,1.9714,1.3824,1.0,0.0,557.0,4.038285019075793
banana,banana,food; fruit,221.5930233,0.925,0.933333333,6.8158,0.3929,5.6842,1.0681,3.545454545,1.970179374,1.4737,1.3899,6.7368,0.7235,6.7368,1.005,1.0,0.0,547.0,4.030417150235494
collar,collar,,210.8214286,0.825,0.846153846,6.4737,0.6872,4.1053,0.8941,4.270833333,1.316662178,6.6579,0.5825,6.3684,1.0761,1.8158,1.0617,1.0,0.0,536.0,4.021594613594834
dice,dice,game,146.23809519999998,0.926829268,1.0,6.7949,0.4091,4.5385,0.8537,3.836734694,1.490902115,6.7949,0.5703,6.641,0.7776,1.5641,1.0207,0.625,0.12103073,533.0,4.019157032928636
plug,plug,hardware,170.9875,0.947368421,0.785714286,6.4737,0.6872,4.3684,0.8517,4.29787234,1.381789854,6.8684,0.3426,6.5,0.6472,1.4737,0.8297,1.0,0.0,531.0,4.017524344983533
curtain,curtain,home decor,303.9888889,0.8,0.866666667,6.1944,1.0091,5.0833,1.079,3.622222222,1.450531077,6.8056,0.4014,6.3333,0.8944,2.5,1.5399,1.0,0.0,525.0,4.01258912730802
brick,brick,,228.5444444,0.951219512,1.0,5.275,1.5687,4.0,1.0377,4.1,1.549193338,6.65,0.5335,5.35,1.3502,2.925,1.6075,1.0,0.0,519.0,4.007597181750521
glove,glove,clothing; clothing accessory; outerwear; protective clothing,217.2222222,0.925,0.75,6.8205,0.3888,4.8462,0.9608,3.846153846,1.6964162390000002,6.7436,0.7511,6.6667,0.5774,1.8974,1.2936,1.0,0.0,515.0,4.004237052943255
envelope,envelope,office supply,215.0108696,0.902439024,0.722222222,6.8158,0.5626,4.6316,0.7136,4.229166667,1.691525603,6.4737,0.7618,6.5789,1.0813,2.5789,1.4451,1.0,0.0,513.0,4.00254718901388
skirt,skirt,clothing; women's clothing,256.3586957,0.9,0.923076923,6.6154,0.7114,5.7436,1.0935,3.588235294,1.577041161,6.7179,0.8255,6.4359,0.8521,2.5385,1.6519,0.85,0.079843597,508.0,3.998293536185983
pencil,pencil,arts and crafts supply; office supply; school supply; tool,195.6590909,0.902439024,1.0,6.75,0.5,4.9444,0.9545,3.765957447,1.417480403,6.6389,0.6825,6.6111,0.5989,3.1667,1.7321,1.0,0.0,503.0,3.993997808957991
coin,coin,,146.32291669999998,0.902439024,1.0,6.6053,0.6384,5.4737,1.2022,3.653846154,1.667269876,6.6842,1.0162,6.2105,0.9907,1.9474,1.4322,0.941176471,0.057067206,497.0,3.988786212635396
necklace,necklace,jewelry,184.2325581,0.926829268,0.75,6.5278,0.6088,5.9722,0.8447,3.760869565,1.791148392,6.8056,0.4672,6.3056,0.7491,2.4722,1.5581,0.842105263,0.083654675,497.0,3.988786212635396
scale,scale,scientific equipment,261.1477273,0.951219512,0.764705882,5.1351,1.0045,4.2973,1.1753,4.098039216,1.25307465,6.7568,0.4947,5.2703,1.071,1.5946,1.1657,1.0,0.0,485.0,3.9781715625043272
helmet,helmet,construction equipment; headwear; protective clothing; safety equipment; sports equipment,241.3333333,0.871794872,1.0,6.3846,0.7114,4.2564,1.0935,4.392156863,1.524184128,6.6667,0.8983,6.1026,0.8206,1.4615,0.7896,0.941176471,0.057067206,483.0,3.976376954653576
shorts,shorts,clothing,244.3953488,0.906976744,0.733333333,6.5,1.0332,5.3158,1.2967,3.95,1.535060343,6.5263,1.2678,6.4211,1.056,2.3158,1.6292,1.0,0.0,480.0,3.973671061277651
sock,sock,clothing; footwear,213.7439024,0.904761905,1.0,6.8158,0.4565,5.1316,1.143,3.888888889,1.318094738,6.7105,0.7318,6.6579,0.7081,2.2632,1.4646,1.0,0.0,458.0,3.953295301905933
lighter,lighter,lighting; tool,177.79787230000002,0.925,1.0,6.725,0.5541,4.675,1.328,4.477272727,1.248042865,6.7,1.067,6.7,0.6076,1.35,0.7355,1.0,0.0,457.0,3.9523460239719137
lipstick,lipstick,personal hygiene item,177.3409091,0.894736842,0.933333333,6.675,0.6558,5.425,0.8738,4.254901961,1.7982562359999998,6.875,0.3349,6.575,0.6751,2.575,1.4480000000000002,0.933333333,0.064406119,449.0,3.944676164905387
pepper1,pepper,food,113.8,0.7,0.722222222,6.425,0.8738,4.975,0.9195,4.204545455,1.456014718,6.825,0.3848,6.325,0.8883,2.3,1.5392,0.315789474,0.106639205,449.0,3.944676164905387
balloon,balloon,toy,235.8023256,0.897435897,1.0,6.3056,0.7863,5.9167,0.8742,3.772727273,1.668638721,6.6667,1.042,5.7778,1.2215,1.4167,0.9063,1.0,0.0,442.0,3.937852093251156
wig,wig,headwear,232.0909091,0.95,0.818181818,6.5143,0.7017,4.7143,1.1523,3.9,1.335894975,6.8,0.4728,6.4286,0.6547,2.3714,1.3738,0.947368421,0.051227817,426.0,3.921839423004783
jar,jar,container,216.9787234,0.743589744,0.75,6.2432,0.7959999999999999,4.8919,0.8751,3.85106383,1.628265594,6.5405,1.2822,6.027,1.1663,1.7568,1.2562,0.941176471,0.057067206,424.0,3.919795680494796
cape,cape,clothing; outerwear,275.952381,0.8,0.75,6.3889,0.6449,4.8333,1.1588,4.173076923,1.72321125,6.6389,0.5929,6.1389,0.8669,2.3611,1.5519999999999998,0.75,0.108253175,420.0,3.915679114299964
shield,shield,safety equipment,273.2906977,0.923076923,0.842105263,5.1892,1.4689,4.3784,1.0097,4.3863636360000005,1.617001375,6.6757,0.7474,5.4324,1.4052,1.9189,1.1396,0.894736842,0.0704059,418.0,3.9136061056770983
hose,hose,garden tool; hardware; tool,274.4878049,0.75,0.705882353,5.8649,1.1823,4.0541,0.9412,4.270833333,1.3951219469999998,6.8919,0.3148,5.9459,1.0527,1.5405,0.9887,0.875,0.082679728,411.0,3.906271645778133
tray,tray,,249.5243902,0.804878049,0.823529412,6.4571,0.6572,4.4857,0.8869,3.891304348,1.464062246,6.5429,1.221,6.3429,0.7648,1.7429,0.9805,0.944444444,0.053990295,410.0,3.905213680621799
bracelet2,bracelet,clothing accessory; jewelry,186.0714286,0.875,0.8125,6.675,0.5256,5.65,1.122,3.866666667,1.700267359,6.725,0.5986,6.525,0.8161,2.125,1.2848,1.0,0.0,398.0,3.892312895975752
spoon,spoon,kitchen tool; tool,189.7738095,0.880952381,0.947368421,6.8919,0.3148,4.8649,0.9764,4.333333333,1.202977336,6.7568,0.863,6.8378,0.4418,1.5676,1.0939,1.0,0.0,388.0,3.881261549496271
seed,seed,,118.125,0.891891892,0.894736842,6.6111,0.7281,5.3056,1.1419,3.657894737,1.400314941,1.5833,1.339,6.5556,0.8433,6.6389,1.0994,0.882352941,0.07814249,386.0,3.8790171285738175
trophy,trophy,,241.6111111,0.921052632,0.866666667,5.5263,0.7255,5.8684,1.1664,4.066666667,1.6569413219999998,6.6579,1.0724,5.6053,0.8233,1.8684,1.018,1.0,0.0,385.0,3.877890553410564
umbrella,umbrella,,263.61956519999995,0.860465116,1.0,6.5385,0.6823,5.3077,1.0552,4.0,1.821587719,6.7692,0.8417,6.6154,0.6734,1.5641,1.0953,1.0,0.0,382.0,3.8744931868137726
olive,olive,food,145.80681819999998,0.902439024,0.944444444,6.5641,0.598,5.1795,1.3548,4.208333333,1.623737917,1.4359,0.9946,6.3333,0.9272,6.4872,0.7208,0.882352941,0.07814249,375.0,3.866461091629783
razor,razor,personal hygiene item; tool,186.1136364,0.9,0.818181818,6.359,0.9315,4.2564,1.1858,4.4117647060000005,1.430754634,6.7436,0.8497,6.3846,0.7475,1.4872,0.6437,1.0,0.0,351.0,3.837736940367888
bolt,bolt,fastener; hardware,149.79166669999998,0.875,0.75,6.3158,0.8417,4.1053,0.5594,4.450980392,1.553238237,6.7368,0.6445,6.1579,0.8551,2.2368,1.3035,0.625,0.12103073,351.0,3.837736940367888
bean,bean,food,131.5425532,0.875,0.785714286,6.65,0.5335,4.925,1.0952,4.104166667,1.574255425,1.475,0.9604,6.425,0.7472,6.75,0.4935,0.789473684,0.09352877,349.0,3.8352552508612434
sponge,sponge,,197.4761905,0.925,0.882352941,6.4865,0.6507,4.7027,0.9388,3.666666667,1.6155274919999998,3.4054,2.3029,6.2973,0.7403,5.1351,2.1623,0.947368421,0.051227817,342.0,3.826455929958199
feather,feather,,180.5348837,0.906976744,0.866666667,6.675,0.5723,5.6,1.0077,2.930232558,1.709850298,1.325,1.0225,6.5,0.8473,6.55,0.6775,1.0,0.0,338.0,3.8213465241797184
jeans,jeans,clothing,268.9886364,0.897435897,0.846153846,6.5,0.5067,5.7632,0.9425,4.106382979,1.4778663019999998,6.5789,1.0301,6.3684,0.7505,2.5789,1.6867,0.8125,0.097578094,337.0,3.8200597247734014
ginger,ginger,condiment; food,173.26388889999998,0.95,0.846153846,6.5385,0.7896,5.2821,0.9162,4.088888889,1.578581386,1.5641,1.1652,6.3333,0.8983,6.8205,0.4514,0.894736842,0.0704059,327.0,3.8069775765623497
